시설명,도로명 주소,지번 주소
선산곱창,경북 구미시 산호대로33길 6-20,(지번) 옥계동 736-1
제주집,경북 구미시 산호대로29길 14-10,(지번) 옥계동 841-3
하루,경북 구미시 산호대로29길 7-5,(지번) 옥계동 844-4
와촌식육식당 옥계점,경북 구미시 산호대로32길 6,(지번) 옥계동 824-1
커피명가 구미해마루밸리점,경북 구미시 해마루공원로 21,(지번) 구포동 1079
구미가당김,경북 구미시 옥계신당로5길 51-29 1층,(지번) 옥계동 1293
KFC 구미옥계점,경북 구미시 산호대로29길 20-7,(지번) 옥계동 833-3
스타벅스 구미옥계,경북 구미시 옥계북로 20,(지번) 옥계동 832-3
라라코스트 구미옥계점,경북 구미시 산호대로31길 7 2층,(지번) 옥계동 842-2
밀당,경북 구미시 산호대로31길 12-39 1층,(지번) 옥계동 740-1
달그릇공방 옥계점,경북 구미시 옥계신당로7길 46 1층,(지번) 옥계동 1289
고요남 구미점,경북 구미시 산호대로29길 14-19 1층,(지번) 옥계동 835-7
양파식당 구미옥계점,경북 구미시 산호대로29길 8-6,(지번) 옥계동 843-2
가베문릿,경북 구미시 옥계신당로5길 33-6 1층,(지번) 옥계동 1229
팀버,경북 구미시 옥계북로 52,(지번) 옥계동 732-5
징기스,경북 구미시 옥계북로 22,(지번) 옥계동 832-4
도화원,경북 구미시 산호대로29길 14-13,(지번) 옥계동 835-8
읍천리382 옥계점,경북 구미시 산호대로33길 6-10 1층,(지번) 옥계동 737-6
투썸플레이스 구미옥계점,경북 구미시 산호대로29길 20-12 1층,(지번) 옥계동 835-4
카페홍,경북 구미시 산호대로33길 6-67,(지번) 옥계동 745-2
서민찜닭 옥계점,경북 구미시 옥계북로 34 2층,(지번) 옥계동 833-4
3번지막창,경북 구미시 산호대로29길 20-10 1층,(지번) 옥계동 835-3
섬마을생선굽는집,경북 구미시 옥계남로 63,(지번) 옥계동 753-6
돌멩,경북 구미시 산호대로33길 14 1층,(지번) 옥계동 743-5
맥도날드 구미옥계DT점,경북 구미시 옥계2공단로 390,(지번) 옥계동 362-1
라쿵푸마라탕 구미옥계5호점,경북 구미시 산호대로31길 18 1층,(지번) 옥계동 731-1
육풍 옥계점,경북 구미시 산호대로29길 17 1층,(지번) 옥계동 837-6
남경수산,경북 구미시 산호대로30길 8-12,(지번) 옥계동 862-2
용두동쭈꾸미,경북 구미시 옥계북로 28,(지번) 옥계동 833-2
